query_id,strategy0,strategy1,strategy2
S01,0.1764705882352941,0.4117647058823529,0.2352941176470588
S02,0.0,0.1111111111111111,0.0
S03,0.6,0.8,0.6
S04,0.5,0.5,0.5
S05,0.3636363636363636,0.0909090909090909,0.1818181818181818
S06,0.2291666666666666,0.25,0.1666666666666666
S07,0.75,0.875,0.75
S08,0.3529411764705882,0.0588235294117647,0.2352941176470588
S09,0.3571428571428571,0.2857142857142857,0.1428571428571428
S10,0.2619047619047619,0.2857142857142857,0.2142857142857142
S11,0.375,0.0,0.125
S12,0.2295081967213114,0.1475409836065573,0.1967213114754098
S13,0.2580645161290322,0.1612903225806451,0.1612903225806451
S14,0.1875,0.1875,0.0625
S15,0.4,0.2,0.2
S16,0.1904761904761904,0.1428571428571428,0.0952380952380952
S17,0.3846153846153846,0.2564102564102564,0.282051282051282
S18,0.2463768115942029,0.2028985507246377,0.2318840579710145
S19,0.2,0.2571428571428571,0.1428571428571428
S20,0.1714285714285714,0.3142857142857143,0.2
S21,0.3055555555555556,0.1944444444444444,0.1388888888888889
